,text,text_translate,voted_up,early_access
14,If this game came out today it would still rock. 9/10,"Всем халлоу. Пишу обзоры редко, на те игры, которые этого стоят даже через много много лет. Начнем с того, что игра не сразу втянула. Много вылетов и проблем, которые я решал сам. Хороших руководств и видосов где все вместе нет. Скорее всего буду сам делать руководство. И так. В атмосферу фол фолыча я втянулся в 14 году в нью вегас. Естественно нв лучше, но так ли это как говорят все вокруг? На столько ли 3 фолл хуже или это просто необъективные существа, которые не умеют сравнивать. Ну что ж, так же я могу сравнивать 3 фолл с 4 фуфлаутом и посмотрим, бефезда делая игру деградировала или же наоборот. Приступим. Контент. Начну с контента, что его тут достаточно. 5 длс. и все имеют свою локацию, хоть и не очень большие, но контент тут интересный. инопланетяне, Анкориджская война, трущобы ""рейдеров"" и т.д. Интересно же посмотреть, что за ""кулисами"" Вашингтонской пустоши. Естественно в нью вегасе длс более глобальные и продолжительней. В 4 фуфлауте всего лишь 2 длс имеют свою мапу и оба контента с 4 части, тупо взяты с 3 и обновлены. Фар Харбор еще более менее, а вот нюка ворлд просто выsер дохлого бомjа. Вдоваться в подробности не будем, это мое мнение и все таки это обзор 3 фоллыча, я всего лишь провожу параллель. Итог: деградация бефезда Сюжет. Более-менее интригующий сюжет. Опять таки, хуже чем в нв по накаленности, но намного лучше чем в 4. Проблема с чистой водой, это насущная проблема пустошей. Дело благородное. Одинокий Путник так же мог отыгрывать различных персонажей, то есть мог быть моральным уродом или же наоборот-Мессером. в 4 эта часть пропущена. ТЫ ssаный батя и никем другим ты не можешь быть. Итог: деградация бефезда Много различных группировок, это очень важно. Атмосфера пустошей, когда люди забиваются в стаи под одним идеалом (предлогом), тут нет куча ублюдков, которые ждут твоего нападения.  Различные бродяги, изгои и т.д. Естественно в 4 фоллыче какого-то xера все группировки враждебны. Твои друзья только сраные бомjи, которые просят помочь им разостроить и защитить их помойку. Дети атома, стрелки, рейдеры и т.д. Просто НПС которых нужно валить. Итог: деградация бефезда. Элементы РПГ. Естественно этот элемент в нв улучшен, но в 3 он не на столько плох как кажется. Не хватает некоторых моментов. Допустим, кармовая, перки, диалоги, даже взлом дверей с силой и когда ты не взламывал терминал, то он блокировался НА ВСЮ ТВОЮ оставшуюся жизнь. в 4 части нет кармы, перки просто kall, элементарные вещи убраны, типо мелочей как со взломом двери силой. Это как дерева лишить веток, просто неинтересный столб. Твою matь, да В нв даже могилы раскапывать можно было. Итог: деградация бефезда Так же можно отметить, Что много интересных локаций, где какие либо скрываются смыслы. Люди, чьи истории охrенительно интересны. Много калоритных нпс которым симпатизируешь. Блэд, да даже тут напарники без их историй более интересны своими репликами которые выкрикивают во время боя чем в 4 (не все). В нв же можно было добиться доверия напарника и получить дополнительный квест в ходе которого ты расскрываешь персонажа. О чем говорить. Факты на лицо. 4 часть лучше стала в плане построек, крафта и выживания. В 3 же части просто не хватает хардкор режима.  Вывод: фаллаут 3 хорошая часть. Советую всем фанатам и любителям обязательно поиграть. Игра проходится быстрее чем нв, но этого вполне хватает, чтобы насладится квантовой колой и лаем твоего пса, который пытается закусать супермутанта. Спасибо за внимание.",True,False
15,The cookie game was better. 11/10,"Aside from the glorious 60fps cap and broken resolution menu, this game is absolutely perfect.  The dialogue is hilarious while touching on interesting political ideologies. Combat is fun, engaging and makes you feel like spiderman with a sword that has a spiderdog with a chainsaw. The soundtrack makes the drive to church feel like a fun family romp through vietnam in 1965. The story feels like it's written by a 10 year old that just watched the american 2020 electoral debates in the best possible way.  Strange technical garbo aside, I love everything about this anime.",True,False
16,a nice game but has alot of dlc's and was free but now comes in the complete bundle for the whole game :( rip me and other people that got this game before it was free :*( but sill and awsome game if you enjoy robbing banks and killing popo's,Very peaceful calming and beautuful with lovely music,True,False
17,"Ace of Spades вышла в конце 2012 года, купил я её попозже, и у меня сразу сложилась примерная формула игры: Таким мое мнение о ней и осталось. Только к сегодняшнему дню она сдала в качестве, да и интерес у людей к ней сильно угас. В целом, в AoP можно весело провести время, если играть с друзьями и найти сервер с хорошим пингом. Чего только стоит выживание небольшой компанией, в собственноручно вырытой пещере, когда к вам со всех сторон пытаются прорыться толпы зомби?",It is good.,True,False
18,"It's 3 games in one, comes with a digital version of the limited edition Art Book, Light Novel and Drama CD. Worth it just for Rinne Utopia and Arusu Install, both amount to about 30 hours each if you're intending to do the true ending. Rio Reincarnation is relatively short and the dialogues for different endings aren't very unique, it mostly serves as an epilogue to the two previous games.  play order: Rinne —> Arusu —> Rio Deluxe pack content: Located in Steam\steamapps\common\DATE A LIVE Rio Reincarnation DATE A LIVE: Rio Reincarnation All Routes & All Achievements DATE A LIVE: Rio Reincarnation - Opening & Ending Music ""Restoration Patch"" limited edition NA  EU  Official websites: EN  JP","SHE. to fasten the trading platform, voice chat. Voice acting Nogiev and Dzhigurda. And there will be a real royal battle, for real men! And let the shkolota continue to sit in the warzone and pubg XD",True,False
19,"Um criativo jogo rogue-like, tem uma história bem simples, porém, não é o foco do jogo, então consegue se manter como boa. A diversidade de armas e itens encontrados no jogo é incrível, todos tem funções interessantes, além disso o jogo tem vários segredos, provavelmente não descobri nem 1/10 deles. O jogo é composto por 5 andares, nestes andares temos várias salas, algumas salas especiáis, salas com baús que necessitam de chaves, e a sala do boss, os chefes do jogo são desafiadores, todos tem um padrão completamente diferente de ataques, sendo completamente imprevisíveis em sua primeira batalha contra eles. Os inimigos comuns do jogo variam bastante, temos vários que são apenas re-skin de outros mais simples, e temos os ""mini-chefes"", presentes em alguma sala, sempre se destacam pelo seu tamanho e pelas suas cores mais vibrantes em sua maioria. A dificuldade do jogo é grande, você nunca está totalmente preparado no jogo, apenas se tiver uma arma muito forte, as imprevisíveis salas do mapa, podem te aguardar com uma horda de inimigos acompanhados com raios laser e cuspidores de bala grudados na parede, ou apenas com uma simples horda de inimigos comuns, por isso o principal elemento de combate no jogo é o rolamento, onde você desvia dos tiros inimigos com uma cambalhota. Esse jogo é uma grande obra, tanto pela criatividade, grande variedade de armas, inimigos e padrões de ataque, quanto pela dificuldade, que faz o jogo ter bastante tempo de gameplay, eu por exemplo em várias tentativas só consegui finalizar o jogo duas vezes ( nenhuma com o final real do jogo ;-; ), bugs são encontrados raramente, são quase inexistentes, o único grande defeito do jogo é a falta do multiplayer não local, seria muito interessante e divertido jogar esse jogo com amigos, totalmente recomendado, sua nota é cerca de 9.",Huts,True,False
20,this game is rate sick,Fun,True,False
21,Err:510,DAMN THIS GAME  FEEL LIKE IM LINUS TECH TIPS,True,False
22,"THis game is quite the ride, let's make a list of bad and good points first. The BAD: - Maniability is horrendous and I played with a XBOX gamepad, I would suggest this method over keyboard and mouse but it is still bad. - Too many back and forth in the story for its own good, even if there is a narrative reason for it, too much is too much. - It is still only an interactive movie with light gameplay even if it is a step up from Heavy Rain. The GOOD: - This is one of the very best stories I experienced in video game form. - Acting is top notch, and not only from Ellen Page and Willem DAfoe but all supporting characters. - Great production value, game still looks beautiful. - Finishing the game the only thing I want to do is jump in again (using remixed option this time) to see the branching stories. All in all this is a great game and if you like interactive story telling with branching narrative this is definitely reommended. Story will stick with you despite the flaws. For anyone thinking this is just a movie, it took me 15 hours to complete my first playthrough and I do want to jump back in ASAP. For anyone that liked Heavy Rain this is big step up in almost everything.","If, in general, the game is normal, shit. Every time you enter mm or other modes, then in 99.9% a cheater and dis-moral will fall, and in 0.1% a normal player will fall. But it's fun to walk with friends: D This is an amateur game.",True,False
23,": 2 Thumbs Up! If and only if all early access indie games had this much passion poured into them. This game is meticulously designed and delivers the experience platform action lovers are looking for and more. It's an intriguing story about an angel who has to battle her way out of a demon-infested prison and regain her divine powers. Gameplay is reminiscent of MegaMan so if you're a fan it's right up your alley. Graphics and sound are on point and get you into the apocalyptic atmosphere. The replay value is huge with pro-gen levels so every time you come back or start over there are refreshing differences. I can't recommend it highly enough and I'm extremely excited to see what the full release offers. If you want to dig into Seraph a little more, check out:",great game,True,True
24,opöik,GOOD GAME,True,True
25,I somehow got vac banned from Mountain 10/10,Still beter than CoD:Goats...,True,False
26,Its all fun and games for first 10 hours... then it will become a super hard pipe/wire simulator. But its good game worth a price.,Piola,True,False
27,"Божечки, сюжет топчик, помогает посмотреть на человечество со стороны, на наши поступки, к чему они приводят. Заставляет смотреть на вещи с другой стороны, находить причину поступков, а не тупое их осуждение. Так же можно пролить слезу из-за трудного выбора, Люблю А2, навсегда в моём сердце(",Really fun :),True,False
28,Монголия тащит!!!,good game i whould like them to fix bugs to lots of bugs,True,False
29,Игра отличная. Сюжет проработан отлично. На счёт графики мне нормально.,"Tengo 376 Horas en este juego y creo que es hora de hacer su análisis desde mi experiencia: El Juego es ambientado en una guerra entre soldados, cyborgs y zombies su tematica es parecida a los Call Of Duty's solo que aqui los mapas con el tiempo se vuelven repetitivos pero aun asi el juego no pierde su toque. Además de ser entretenido tiene modos de juego Pve y Pvp (Player vs Environment - Player vs Player) Asi que no hay forma de aburrirse y mas con amigos.  Ventajas: +Personalizacion de jugador y variedad de armas. +80 Niveles que obtendrás al jugar y con ello el desbloqueo de objetos, armas. +Comunidad bastante amigable. +Sus Desarrolladores actualizan bastante seguido (Armas, Misiones, Personajes) +Hasta con el Pc Mas Minimo puedes Jugar Sin Problemas, Buen Rendimiento y Graficas Impresionantes. Desventajas: -Servidores bastante inestables y un ping malisimo (En Mi Caso Para Latinoamerica - Colombia) -Matchmaking malisimo, Ya que mezcla jugadores de niveles bajos contra niveles altisimos. Pase Bastantes Horas en Este Juego y Aun Pienso que Sigue Siendo un Muy Buen Juego First Person Shooter y Gratis! Mi Calificación: 8/10",True,False
30,"Хаха)) Что вы ноете то? Ещё до выхода игры было известно, что она после релиза будет бесплатной)","I can only recommend it, nice game with great expansions. It's even more fun with friends.",True,False
31,"Herkese merhabalar. Ride 2 oyunun incelemesini önceden yapmıştım ama bi düzenleme ile tekrar sunmak istedim. Oyun bildiğiniz üzere bir motor sürme simülasyonu. Oyunda açık dünya yok. Belirli pistlerde yarışıyorsunuz. Motorların hepsi lisanslı ve orjinal markalardan oluşmakta. Kaliteli grafikler sunuyor. Eğer oyunu ne ile oynayacağınıza karar veremediyseniz ben Gamepad öneriyorum. Klavye ile daha zor. Oyun çok gerçekçi, vites geçişleri ya da viraj almaları olsun cidden gerçeğini aratmamış. Motorları zapdetmesi çok zor. Özellikle Suzuki marka motorlar gerçekteki gibi ön kaldırıyor. Diğer motorlarda gerçekteki gibi olmuş ben çok beğendim. Online moduna gelirsek arkadaşlarınızla birlikte diğer insanlara, botlara ya da arkadaşınıza kafa tutabileceğiniz güzel bir mod. Herhangi bi optimizasyon sıkıntısı görmedim. Oyun modları olarak da Drag, Supermoto gibi dallar var. Kısacası oyun her motorseveri doyuracak bir yapım olmuş. Sorunuz olursa lütfen çekinmeyin beni ekleyin...",Best competitive game ever,True,False
32,I missed a 94% shot and got a full team of modded waifus killed. One of the alien lackeys then made fun of me over the phone. This is not funny.,No regrets. GG,True,False
33,"Прекрасный перезапуск вселенной Prey. Игра достойна внимания каждого, кто хоть раз слышал или видел ее. Сюжет интересен не прямолинеен, как может показаться, а очень даже не плох немного не дотягивает до шедевра)  Одно удовольствие бегать и  творить, что душе угодно, как это можно назвать песочница на огромной космической станции. В общем 10 мимиков из 10",no,True,False
34,-,It's the best mech shooter out there. I love the game,True,False
35,10/10 WOULD PLAY AGAIN,"Testei o jogo novamente apos os updates q sairam e a performance melhorou consideravelmente. O fps ainda n fica cravado em 60 , porem as quedas quando ocorrem sao pequenas e n atrapalham a jogatina. O pior problema q eram os stutterings foi resolvido. Para constar possuo um ryzen 2700x com uma rx590 8gb e 16 de ram 3200. Rodando o jogo no high.",True,False
36,"Скажу сразу, это шедевр игровой индустрии. Итак, Айзек. Наиграв в него 100 часов (на момент написания обзора) могу смело сказать - игра просто шедевральна! В игре большое количество персонажей, есть даже секретные, чтобы их открыть, нужно выполнить определённые условия. Также в игре присутствует огромное количество монстров, боссов, фишек, и прочих приколюх. Чтобы пройти ВСЮ игру, нужно за ВСЕХ персонажей пройти ВСЕХ боссов. Также, в игре присутствует отличный саундтрек. В игре просто дохера отсылок. Сама игра и все дополнения к ней стоят около 900 рублей. Но цена оправдана качеством и интересом к игре. Все баги и уловки игры фиксят, и игра не становится лёгкой. Не хочу спойлерить, потому что в этой игре интересный сюжет, и не каждый поймёт его суть. Хочу подвести итог: отличная игра за свои деньги! Итак, плюсы и минусы! - Сюжет - Реиграбельность - Саундтрек - Большое кол-во персонажей, боссов, монстров. - Отсылки - Кривой установщик модов Вообщем, советую купить игру и все дополнения к ней. Любителям жанра точно понравится! Спасибо что прочитали! :)",Good game with good game mechanics,True,False
37,bruh,"There are many cheaters, but they are also real nooooooooooob",True,False
38,"I bought this game because it looked like it might be fun, and I am so glad I did!!  No the graphics aren't the best, but the game play is a whole lot of fun!!!  I reccomend this game to anyone that like the classic 3D shooter, with a twist.",9.5 / 10 cockroaches,True,False
39,Good Single player sandbox with alot to do and kill bosses,Cool war strategy game :),True,False
40,no fajne 10/9,"This is a wonderful game. The música is amazing, exploring, building and fighting a harsh new environment is absolutely exciting. In my experience, therw are only minoría Bugs and the Astroneer team works closet with the communty I truly hope se van actually manually fly ships and encounter either creatures or some other forma of mysterious dangers! Great game.",True,False
41,Ich habe das Spiel gerade durch gespielt und musste einfach was dazu schreiben. Also wer nicht so viel wert auf die Grafik legt und lieber eine hervorragende Story spielen will ist dieses Spiel eine echt gute Investition. Ich würde es jeder zeit von vorne anfangen. :D,"Well damn, no words are needed here",True,False
42,"At this point, this is basically an enhanced Warband. But ... I have never seen any devs fix bugs as fast as TWE and I'm proud to say I've never trusted a developer as much as I trust TaleWorlds. It works quite well at this point, if you liked Warband there is absolutely no reason not to purchase and play this title right now. It's missing a few key elements that we were expecting Bannerlord to have but I have no doubt that they'll get added as soon as they're ready and even at it's current stage, with just basic core elements, it's extremely fun.",its good but its very accdicting,True,True
43,"Reviewing this game is not easy and I will explain why Are you looking for an erotic game? You found it Are you looking for a totally uncensored game? there he is Are you looking for a game where you don't have the usual music, but the voices of female protagonists who tell you so many erotic things with lots of groans? This is the game for you The story is a special one: you are a teenager full of sexual desires who lives with 3 sisters and mothers, all of them provocative and sexy, but who treat you like a child at home without giving you consideration ... You, however, find a pendulum that hypnotizes and in a week hypnotizes all the protagonists (sisters and mother) and makes them become sex slaves and they will do everything but EVERYTHING to fulfill your sexual desires, with scenes of incestuous sex and group sex unmatched in any game never seen before Here is the point: if you are disgusted by incest, don't buy it, because here you reach sexual and politically incorrect heights never reached before If you are looking for a porn-sexy game with various endings then buy it Without Vote ------------------------------- Recensire questo gioco non è facile e vi spiegherò il perché Cercate un gioco erotico ? Lo avete trovato Cercate un gioco totalmente senza censure ? Eccolo Cercate un gioco dove avere non la solita musica , ma le voci delle protagoniste femminili che vi dicono tante  cose erotiche con tanto di gemiti ? Questo è il gioco che fa per voi La storia è particolare : siete un adolescente pieno di voglie sessuali che vive con 3 sorelle e la mamma tutte procaci e sexy , ma che vi trattano come il piccolo di casa senza darvi considerazione… Voi , però , trovate un pendolo che ipnotizza ed in una settimana ipnotizzate tutte le protagoniste ( sorelle e mamma ) e le fate diventare schiave sessuali e faranno tutto ma proprio TUTTO per esaudire le vostre voglie sessuali , con  scene  di sesso incestuoso e sesso di gruppo senza eguali in nessun gioco mai visto prima Eccolo il punto : se siete disgustati dagli incesti non compratelo , perché qui si raggiungono vette sessuali e politicamente scorrette mai raggiunte prima Se cercate un gioco porno-sexy e con vari finali allora compratelo Senza Voto","Great game, its graphics are spectacular and its combat style makes hours of grinding enjoyable. 4 characters at level 58 of pure grinding. 11/10",True,False
44,Рекомендую 100% Игра бесплатная и мало требует  Лайк,"I've never played this game before so I've decided it's about time since I love The Witcher universe & I was looking for games to remind me of the good old times during this quarantine. What I didn't expect was to be quarantined in game due to ""catriona"". Coincidence? I think not. But all jokes aside, this is a great game & it really gave me that nostalgic feeling I was looking for. Despite clunky combat, backtracking simulator, old graphics- it still has its charm & a great story that keeps me going. 7/10",True,False
45,"детектив-экстрасенс Пол Просперо, прибыл на своё последнеё дело, в котором ему нужно найти ответы на загадочную пропажу мальчика Итана Картера и его историю, которая случилась в красивом осеннем месте — Ред-Крик-Вэлли.  местечко хотя и выглядит вполне спокойным и тихим, но это только на первый взгляд. темное прошлое поселения и скелеты в шкафах повсюду.  из письма от мальчика было понятно - с его семьей творится что-то неладное и грядет  , что Итан прогневал.   спящее, древнеё и могущественное, а так же кровожадное.  уже витающее в воздухе. восстанавливая хронологию событий мы задаем все больше новых вопросов и находим все больше новых ответов. что тут произошло? что с ними произошло? Кто, кого и как? давайте выясним правду.",Amazing game! It's got great puzzles to solve and reminds me of portal.,True,False
46,"В 6 части Resident Evil , решили угодить всем. И любителям зомби из старых игр, и любителям пострелять из RE4-5 и даже любителям простых шутеров, вроде Call Of Duty. Хорошо это или плохо – решать не мне. Наконец-то из игры пропал магазин, оружие теперь только находим и весь остаток игры оно с нами. Больше нет единого ящика, куда между эпизодами можно скинуть лишние предметы, теперь всё своё носим с собой. Если что-то лишнее – выбрасываем. Переехали сюда и умения из Mercenaries 3D и Revelations. Т.е. вместо денег теперь мы имеем очки умений, на которые между эпизодами можно купить те или иные умения для своих персонажей. Также претерпела изменения и система лечения персонажей. Теперь прежде, чем употреблять травы внутрь их нужно замешать и добавить в специальную ёмкость, из которой, по нажатию определённой кнопки, персонаж их ест. Кроме того, из состояния «Агония» теперь можно выйти самому, главное чтобы не добили раньше. Если вы любители игры в онлайне, то и для вас есть хорошие новости, теперь напарники могут присоединиться прямо во время игры, вместо того, чтобы ждать очередного чекпоинта. Если предпочитаете один, то знайте, компьютерный напарник отныне бессмертный и патроны у него бесконечные. Думаю те, кто часто погибал из-за «умного» бота в RE5 сейчас облегчённо вздохнули. Продолжать можно долго, ибо игру изменили очень хорошо. К примеру, мы теперь всё же можем двигаться во время прицеливания и даже перекатываться. Но и враги теперь не ждут, пока игрок начнёт их убивать, посему темп игры вырос и стрельба на ходу здесь уместна. Играть или нет? Разумеется, играть! Правда старым частям он проигрывает всё равно. Посему, почему бы и не играть?","The more lonely and desperate, the more joyful the game! -It's not dark, so it's so beautiful that you can feel the beauty. Actions where you can feel the excitement with sweat. The magic of subtle gameplay that stimulates the bite that seems to be overcome. Reasonable difficulty that rewards gamers' efforts, not massive difficulties! (Proof that the difficulty will drop sharply as you learn the map and enemy patterns)-All of the above elements combine to provide an exhilarating sense of achievement that is difficult to feel in today's games.",True,False
47,внатуре четкая игра,This Zup! Zero is true to the rest of the series: brief but entertaining. Less than forty minutes of play and levels that are linked quite quickly. Fun and requires a bit of thought but without the fuss.,True,True
48,"Naja, das Spiel macht schon Spass, aber jedem sollte klar sein, dass das früher oder später ein reines Sandkastenspiel wird. Balancing zwischen KI und Spieler ist praktisch nicht vorhanden. Als Spieler kontrolliert man schnell die gesamte Spielwelt und den Spielverlauf.","Very good strategy game, it's a trust no one kind of game you don't really know who's lying or not.",True,False
49,谁TM在扯我尾巴！,"I have been playing this game on and off for a few years now, and it's a surprise to see they are still actively supporting and updating it. This game has never been better, in my opinion. Sure, it has its share of problems, but as a casual player (I might be in the minority), I really enjoy this game. The weapon mechanics are great, the default maps offer some great variety in visuals and gameplay. It is one of the ever dwindling amount of FPS games right now that don't force you to buy DLC or lock gameplay contents behind a paywall. It's also ridiculously cheap and even more so during sales. And the last part is problem for a lot of competitive players at the moment. You might come across a lot of cheaters and this ruins the competitive aspect of the game. Personally I've only encountered around 3-4 cheaters, but it's a problem that's proving hard to solve, and ruining the game for its most serious players.  This is a great game overall, though. It's super fun to play with friends. The workshop content is absolutely massive. CS:GO has one of the biggest modding communities on Steam and there are tons of maps that offer a wide variety of content. All of them for free. Definitely recommend this game.",True,False
50,spoopy man,"Good Game! The main character of the game is very fond of his girlfriend who comes to him in vidinies. He fights evil and tries to save his girlfriend .... The main character does not possess pure power, which helps him to achieve his goal!",True,False
51,lol,you relly need a sandbox mode.  can you plz do one it will be relly fun to just play around test things with your friends and have fun!,True,False
52,"No hay nada que decir, todos sabemos lo que es Halo, y ahora es un sueño hecho realidad tenerlo en PC, hasta ahora solo he probado el CE pero voy por los demás, un grande Halo.","Best military simulator around, 10/10",True,False
53,"Это рпг про подземелья, монстров, сражения из чего следует что ваша игра не бесконечна, с фактическим единственным концом, который наступает либо при гибели, либо после успешного пешего подъема до 125 этажа. Вообщем игра очень интересная, смогла занять моё драгоценное время) Советую, захватывающе и весит ооочень мало.","One of the best games I have played, with a stable difficulty for each person, highly recommended",True,True
54,"Если вы любите мужчин,то это игра для вас!",I literally kicked the ♥♥♥♥ outta things to the end.  12/10 It is very fun!,True,False
55,"Bon jeu , bon amusement, graphisme jolie bonne détente",Good :D,True,False
